\nvrtrie ⋭̸
\ddotseq ⩷
\lesges ⪓
\HumpDownHump ≎
\THORN Þ
\fopf 𝕗
\bNot ⫭
\Tscr 𝒯
\rightsquigarrow ↝
\uogon ų
\sigmav ς
\prurel ⊰
\NotLessEqual ≰⃥
\lbarr ⤌
\easter ≛
\boxur └
\RBarr ⤐
\inodot ı
\mho ℧
\geq ≥
\intprod ⨼
\gacute ǵ
\prcue ≼
\GreaterGreater ⪢
\NotExists ∄
\starf ★
\Lcy Л
\uacute ú
\nrarrw ↝̸
\ffr 𝔣
\sigma σ
\olarr ↺
\TildeEqual ≃
\nsime ≄
\nGg ⋙̸
\sc ≻
\oslash ø
\gammad Ϝ
\circledS Ⓢ
\iuml ï
\gamma γ
\iogon į
\commat @
\Tfr 𝔗
\Pr Pr
\nLt ≪̸
\Gcedil Ģ
\boxhu ┴
\Precedes ≺
\andd ⩜
\nless ≮
\aogon ą
\cuepr ⋞
\bowtie ⋈
\vArr ⇕
\SHcy Ш
\nsccue ⋡
\maltese ✠
\verbar |
\vDash ⊨
\nsupe ⊉
\rightharpoondown ⇁
\xopf 𝕩
\OverParenthesis ︵
\raquo »
\ltri ◃
\Icirc Î
\frac35 ⅗
\diam ⋄
\blacklozenge ⧫
\rscr 𝓇
\lfr 𝔩
\tbrk ⎴
\nbumpe ≏̸
\curlyeqsucc ⋟
\NotDoubleVerticalBar ∦
\map ↦
\nleqq ≰
\rdldhar ⥩
\IOcy Ё
\ecy э
\Oopf 𝕆
\hksearow ⤥
\hardcy ъ
\cuesc ⋟
\nsce ⪰̸
\coth coth
\LessSlantEqual ⩽
\LessFullEqual ≦
\LeftArrowRightArrow ⇆
\ReverseElement ∋
\boxdl ┐
\capcup ⩇
\ccedil ç
\varsubsetneq ⊊︀
\lsquo ‘
\LeftCeiling ⌈
\subseteq ⊆
\profsurf ⌓
\nharr ↮
\ldsh ↲
\apos '
\precapprox ≾
\nis ⋼
\lessdot ⋖
\longleftrightarrow ????
\min max
\DoubleLeftArrow ⇐
\nvlArr ⇍
\smeparsl ⧤
\lnsim ⋦
\uharr ↾
\dotsquare ⊡
\oopf 𝕠
